movie_id,genres
217,Fantasy
217,Thriller
218,Action
218,Thriller
219,Action
219,Adventure
219,Comedy
219,Crime
220,Adventure
220,Mystery
220,Sci-Fi
221,Adventure
221,Animation
221,Comedy
221,Family
221,Fantasy
222,Action
222,Drama
222,Sci-Fi
222,Thriller
223,Action
223,Adventure
223,Sci-Fi
223,Thriller
224,Action
224,Crime
224,Sci-Fi
224,Thriller
225,Action
225,Family
225,Sport
226,Comedy
226,Drama
226,Romance
227,Action
227,Comedy
227,Romance
228,Action
228,Adventure
228,Mystery
228,Sci-Fi
229,Action
229,Adventure
229,Fantasy
229,Sci-Fi
230,Action
230,Adventure
230,Fantasy
230,Sci-Fi
231,Adventure
231,Animation
231,Comedy
231,Family
231,Fantasy
232,Action
232,Adventure
232,Sci-Fi
232,Thriller
233,Action
233,Adventure
233,Fantasy
233,Sci-Fi
234,Adventure
234,Animation
234,Comedy
234,Family
234,Fantasy
235,Action
235,Drama
235,War
236,Action
236,Adventure
236,Drama
236,Fantasy
237,Action
237,Adventure
237,Comedy
237,Sci-Fi
238,Adventure
238,Drama
238,Sci-Fi
238,Thriller
239,Action
239,Adventure
239,Thriller
240,Action
240,Adventure
240,Comedy
240,Sci-Fi
241,Action
241,Adventure
241,Sci-Fi
242,Action
242,Adventure
242,Comedy
242,Family
242,Fantasy
243,Action
243,Adventure
243,Drama
243,Thriller
244,Action
244,Adventure
244,Thriller
245,Action
245,Drama
245,History
245,War
246,Crime
246,Thriller
247,Action
247,Comedy
247,Crime
247,Romance
247,Thriller
248,Adventure
248,Sci-Fi
248,Thriller
249,Biography
249,Drama
250,Adventure
250,Comedy
250,Family
250,Fantasy
251,Action
251,Comedy
251,Crime
251,Sci-Fi
251,Thriller
252,Action
252,Drama
252,Fantasy
252,War
253,Adventure
253,Animation
253,Comedy
253,Family
253,Fantasy
254,Animation
254,Comedy
254,Family
254,Music
254,Western
255,Action
255,Adventure
255,Mystery
255,Sci-Fi
255,Thriller
256,Action
256,Drama
256,Sci-Fi
256,Sport
257,Adventure
257,Animation
257,Comedy
257,Family
257,Fantasy
258,Action
258,Crime
258,Romance
258,Thriller
259,Action
259,Sci-Fi
260,Action
260,Adventure
260,Thriller
261,Action
261,Adventure
261,Drama
261,Fantasy
262,Action
262,Adventure
262,Comedy
263,Biography
263,Drama
263,Sport
264,Adventure
264,Comedy
264,Family
264,Fantasy
265,Action
265,Mystery
265,Sci-Fi
265,Thriller
266,Action
266,Adventure
